Trial ID,L2 Reg,Dropout,Otimizador,Learn Rate,Peso C0,Val Macro-F1,Val Bal Acc,Val Unknown Recall,Val AUC,Val Precision,Val Loss
12,,0.1,adam,0.003,1.0,0.9669173124905708,0.9705918789368859,0.9391634980988594,,,0.17671333253383636
16,,0.4,adam,0.002,0.75,0.9598514949669333,0.9678759636734421,0.9011406844106464,,,0.18503457307815552
09,,0.2,adam,0.002,0.75,0.9585411772252852,0.9673327806207535,0.8935361216730038,,,0.1922125369310379
04,,0.2,adam,0.001,1.0,0.9574103009543118,0.96340661539781,0.908745247148289,,,0.2049185335636139
21,,0.4,adam,0.003,1.0,0.9568605784313068,0.9609003497336498,0.908745247148289,,,0.2043263465166092
27,,0.2,adam,0.003,0.5,0.9565201337884851,0.9616102995130411,0.9011406844106464,,,0.18054145574569702
08,,0.3,adam,0.003,0.75,0.9560315658017469,0.9618818910393855,0.9049429657794676,,,0.2004534900188446
26,,0.2,adam,0.0005,1.0,0.9554919712623396,0.9642833319039041,0.8859315589353612,,,0.19505617022514343
23,,0.2,adam,0.001,0.75,0.953481175931681,0.9623202492924324,0.8935361216730038,,,0.20890246331691742
20,,0.2,adam,0.002,0.25,0.9517724412944861,0.968543030580253,0.8403041825095057,,,0.2275104969739914
01,,0.1,adam,0.001,0.75,0.9517712563651114,0.9641785071042627,0.8669201520912547,,,0.2039812058210373
28,,0.3,adam,0.0005,1.0,0.9508435236528382,0.9614006499137577,0.8631178707224335,,,0.24081222712993622
14,,0.2,adam,0.002,1.0,0.9497018429967906,0.9582892592698478,0.8897338403041825,,,0.20658650994300842
22,,0.1,adam,0.002,0.25,0.9471037817315657,0.962277366419852,0.8403041825095057,,,0.2599097788333893
15,,0.3,adam,0.0005,0.75,0.9448802358810979,0.958622792723253,0.8593155893536122,,,0.22948051989078522
07,,0.4,adam,0.001,0.5,0.9447774235436075,0.9614625918408187,0.8288973384030418,,,0.2156955897808075
31,,0.2,adam,0.001,0.5,0.9440622347038164,0.9611910003144742,0.8250950570342205,,,0.22092321515083313
02,,0.1,adam,0.0005,1.0,0.9438580835655593,0.9555733440064038,0.8517110266159695,,,0.23050746321678162
25,,0.3,adam,0.001,0.75,0.9419760799162477,0.9543202111743236,0.8517110266159695,,,0.2428603172302246
06,,0.1,adam,0.003,0.25,0.9417585485579169,0.9584131431239696,0.8212927756653993,,,0.2419918179512024
51,,0.2,adam,0.003,1.0,0.9405684091694042,0.9508324042044275,0.8555133079847909,,,0.24242068827152252
40,,0.1,adam,0.003,0.75,0.9386529650239446,0.952419070489913,0.8250950570342205,,,0.25464707612991333
29,,0.3,adam,0.002,0.25,0.9364495384200833,0.9577651352716392,0.7946768060836502,,,0.26530787348747253
63,,0.1,adam,0.002,0.5,0.9361634514482166,0.9516042959108797,0.8136882129277566,,,0.25997138023376465
10,,0.4,adam,0.0005,0.5,0.9359645486466581,0.9558020526601677,0.8022813688212928,,,0.2708774507045746
24,,0.2,adam,0.001,0.25,0.9349926908763837,0.9569503606926059,0.7832699619771863,,,0.2879456877708435
38,,0.1,adam,0.0005,0.75,0.9316025686280233,0.9485548471940307,0.8060836501901141,,,0.29329976439476013
43,,0.3,adam,0.003,1.0,0.9314030918908298,0.938029484357281,0.8517110266159695,,,0.27315765619277954
44,,0.3,adam,0.001,1.0,0.9312223232739705,0.9509562880585495,0.7870722433460076,,,0.30225813388824463
03,,0.2,adam,0.0005,0.25,0.9294716379717494,0.9563023528402755,0.7566539923954373,,,0.29963418841362
13,,0.1,adam,0.001,0.5,0.9294562774108691,0.9456102232768233,0.8174904942965779,,,0.2711659073829651
41,,0.1,adam,0.002,1.0,0.9292758990409146,0.9428323660863186,0.8136882129277566,,,0.31986087560653687
45,,0.4,adam,0.001,1.0,0.928063416470381,0.9432707243393655,0.8022813688212928,,,0.29933494329452515
18,,0.1,adam,0.003,0.1,0.9263748541978861,0.9524381295443932,0.7376425855513308,,,0.31671279668807983
54,,0.2,adam,0.0005,0.75,0.9263257947811636,0.9512898215119548,0.7566539923954373,,,0.30705463886260986
37,,0.3,adam,0.003,0.5,0.9259451624089874,0.9473636562890114,0.7718631178707225,,,0.2731724679470062
05,,0.2,adam,0.003,0.1,0.9249864227550078,0.9546728036822093,0.7338403041825095,,,0.4142279028892517
17,,0.4,adam,0.003,0.1,0.9235938083678207,0.9538580291031762,0.7224334600760456,,,0.4053191840648651
35,,0.1,adam,0.0005,0.5,0.9216886009332981,0.9447525658252095,0.752851711026616,,,0.3041684627532959
32,,0.4,adam,0.001,0.75,0.9200084094268526,0.939134909517139,0.779467680608365,,,0.32357266545295715
19,,0.1,adam,0.001,0.1,0.9185069965051688,0.9468824151633838,0.7300380228136882,,,0.34931281208992004
56,,0.4,adam,0.003,0.5,0.91777762481503,0.9418698838350631,0.7300380228136882,,,0.32097816467285156
47,,0.3,adam,0.001,0.5,0.9174839683749246,0.9446477410255677,0.7338403041825095,,,0.3429739475250244
57,,0.2,adam,0.003,0.75,0.9164843296365927,0.9325976538303934,0.7756653992395437,,,0.3331705331802368
39,,0.4,adam,0.002,0.5,0.9164121486518794,0.9411599340556716,0.7376425855513308,,,0.32979756593704224
49,,0.2,adam,0.0005,0.5,0.9152586903364498,0.9453576908049593,0.7262357414448669,,,0.3548329174518585
36,,0.3,adam,0.001,0.25,0.9108669781138958,0.9479878403232415,0.6577946768060836,,,0.3738708794116974
42,,0.1,adam,0.0005,0.25,0.9095163955463307,0.9454815746590811,0.6577946768060836,,,0.4071664810180664
